pitch_nm,res1_wavelength_nm,res1_reflectivity,res2_wavelength_nm,res2_reflectivity
6.150000000000000000e+02,6.597119999999999891e+02,9.585765424129118195e-02,7.525919999999999845e+02,1.348089972553308813e-01
6.500000000000000000e+02,7.814729999999999563e+02,1.109548939047812349e-01,6.839809999999999945e+02,2.275402703930104187e-01
7.000000000000000000e+02,8.157599999999999909e+02,1.213840205828746605e-01,7.196630000000000109e+02,3.488080995003454143e-01
7.500000000000000000e+02,8.447659999999999627e+02,1.493603232844458173e-01,7.592730000000000246e+02,4.205851951301557978e-01
8.000000000000000000e+02,8.723369999999999891e+02,1.869975830053001720e-01,7.220940000000000509e+02,5.696234062003612264e-01
