pitch_nm,resonance_wavelength_nm
6.150000000000000000e+02,1.200480000000000018e+03
6.500000000000000000e+02,1.200480000000000018e+03
7.000000000000000000e+02,1.193779999999999973e+03
7.500000000000000000e+02,1.197119999999999891e+03
8.000000000000000000e+02,1.180599999999999909e+03
