1200.48,-651060.56139612
1197.12,-673446.343004853
1193.78,-694982.335547654
1190.45,-715983.398153652
1187.15,-737770.360078874
1183.86,-761605.123946001
1180.6,-787626.28671554
1177.34,-814692.486385329
1174.11,-841307.611792355
1170.9,-866891.356823448
1167.7,-892328.612250898
1164.52,-919298.398296975
1161.36,-948895.886853679
1158.21,-980687.964618605
1155.08,-1013025.70895544
1151.97,-1044405.41843576
1148.88,-1074769.21244266
1145.8,-1105635.83641608
1142.74,-1138897.09220379
1139.69,-1175241.78452324
1136.66,-1213530.01224035
1133.65,-1251694.02908958
1130.65,-1288469.22902332
1127.67,-1324522.29632563
1124.71,-1361989.96895314
1121.76,-1402747.06215335
1118.82,-1446817.86206408
1115.9,-1492286.36086682
1113,-1536852.75642765
1110.11,-1579785.65366053
1107.23,-1622634.77542905
1104.37,-1668036.35553551
1101.53,-1717541.8296278
1098.7,-1770267.221833
1095.88,-1823548.61408563
1093.08,-1875139.69930541
1090.3,-1925156.98988529
1087.52,-1976109.75486069
1084.76,-2030899.3179168
1082.02,-2090392.37493197
1079.29,-2152607.99766943
1076.57,-2214283.02647959
1073.87,-2273598.91341126
1071.18,-2331811.21468955
1068.5,-2392348.34990059
1065.84,-2458025.42456529
1063.19,-2528648.80029813
1060.55,-2601058.01319517
1057.93,-2671684.46482701
1055.32,-2739575.35751139
1052.72,-2807341.01158437
1050.14,-2879128.12920891
1047.56,-2957196.36145533
1045,-3039933.91636967
1042.46,-3123059.67818553
1039.92,-3203143.51139006
1037.4,-3280570.80000812
1034.89,-3359413.83785571
1032.39,-3444174.5911009
1029.9,-3536008.74670831
1027.43,-3631604.34131282
1024.97,-3725790.55540198
1022.51,-3815845.50552864
1020.08,-3903936.16729831
1017.65,-3995535.440412
1015.23,-4094964.02073585
1012.83,-4201690.54076731
1010.44,-4310559.53247421
1008.05,-4415944.01842001
1005.68,-4516501.27650186
1003.32,-4616534.679758
1000.97,-4722645.3458796
998.637,-4838269.57400167
996.311,-4960623.96311102
993.995,-5082757.37838699
991.69,-5199234.12472835
989.395,-5310821.53668792
987.112,-5424167.35332193
984.838,-5546485.19143704
982.575,-5679483.08118511
980.323,-5817634.09865027
978.081,-5952475.7080985
975.849,-6079618.60958783
973.627,-6202682.09954173
971.416,-6330664.76600522
969.214,-6470618.50586039
967.022,-6621567.50980708
964.84,-6774877.61664542
962.669,-6921123.24341159
960.506,-7058009.10504365
958.354,-7192709.56037184
956.211,-7336333.75112173
954.078,-7494736.40089554
951.954,-7663222.90870227
949.839,-7829854.52125483
947.734,-7985067.91830522
945.639,-8129874.75254134
943.552,-8275625.58846667
941.475,-8435022.12611341
939.407,-8611408.62565206
937.348,-8795269.63052892
935.298,-8971335.85898607
933.257,-9131013.05116206
931.224,-9279991.55656311
929.201,-9434320.02721122
927.186,-9607455.36033726
925.18,-9798580.87548896
923.183,-9992091.78532394
921.194,-10169472.6111418
919.214,-10324462.3122675
917.243,-10469001.6761047
915.28,-10624285.2670578
913.325,-10803299.1225747
911.378,-10998828.7841543
909.44,-11187400.7159186
907.51,-11347096.7334385
905.588,-11475441.5564591
903.675,-11592380.7938943
901.769,-11724601.0004475
899.872,-11882639.5590413
897.982,-12049194.8989499
896.1,-12189293.3050836
894.227,-12275763.9763918
892.361,-12310168.5048339
890.502,-12321298.2388149
888.652,-12340179.0891516
886.809,-12369753.5074824
884.974,-12373439.3668995
883.146,-12293556.6522186
881.326,-12087100.0331998
879.514,-11750899.3659435
877.709,-11314372.6040902
875.911,-10803089.2926389
874.12,-10202330.9000434
872.337,-9455521.090686
870.562,-8510561.89294733
868.793,-7390830.11678487
867.031,-6242696.68177007
865.277,-5318119.08723582
863.53,-4888116.07026285
861.79,-5127732.60216464
860.057,-6035388.89913879
858.33,-7432935.34045664
856.611,-9046715.63528067
854.899,-10623576.5029152
853.193,-12018519.0972698
851.494,-13212443.3437279
849.802,-14263386.2686508
848.117,-15232830.9635092
846.438,-16136487.6675184
844.766,-16944657.8897895
843.1,-17620312.5701877
841.442,-18159445.4925837
839.789,-18602315.4233343
838.143,-19009601.384555
836.504,-19424109.6289295
834.871,-19847358.5234827
833.244,-20246925.6853235
831.624,-20586638.6448465
830.01,-20855890.8076089
828.402,-21077070.2227493
826.8,-21287834.3714712
825.205,-21513434.6500433
823.615,-21750120.416441
822.032,-21970710.5300673
820.455,-22146381.0869183
818.884,-22267504.0360819
817.319,-22348602.0333403
815.76,-22415277.3912448
814.207,-22484134.5050668
812.659,-22550715.5884928
811.118,-22593359.3421968
809.582,-22588799.953242
808.053,-22527369.6699567
806.529,-22417127.2245907
805.01,-22275072.8476293
803.498,-22112790.3461873
801.991,-21927007.5010121
800.49,-21701084.5380461
798.994,-21415369.5146875
797.504,-21058572.7917773
796.02,-20632559.7117888
794.541,-20148145.8760948
793.067,-19615678.7758422
791.599,-19037113.2066538
790.137,-18404661.0162946
788.679,-17706347.2586378
787.228,-16934648.7512906
785.781,-16092858.2599504
784.34,-15195792.4877979
782.904,-14265133.4232783
781.473,-13322940.7017376
780.048,-12387790.4909019
778.628,-11476111.8823064
777.212,-10607756.4806715
775.803,-9811591.07487328
774.398,-9126188.36281544
772.998,-8593320.22171079
771.603,-8246827.27631762
770.213,-8103444.10343955
768.829,-8162302.30256523
767.449,-8414864.40623775
766.074,-8859706.42853227
764.704,-9511665.75237973
763.339,-10396896.3835499
761.979,-11534363.2122496
760.624,-12915006.0240462
759.273,-14494430.1229617
757.928,-16208535.4092274
756.587,-18006279.908948
755.251,-19879254.2909039
753.919,-21864815.064993
752.592,-24012996.9315661
751.27,-26330955.0893844
749.953,-28737748.108978
748.64,-31062605.7324308
747.332,-33098047.2220417
746.028,-34686310.4983179
744.729,-35793684.180376
743.434,-36529110.0125642
742.144,-37092393.7945809
740.858,-37677720.8725781
739.577,-38385097.6477021
738.3,-39188507.1891002
737.028,-39976041.5996941
735.759,-40634272.8223328
734.496,-41123670.0371586
733.236,-41499777.1206897
731.981,-41871033.15561
730.731,-42324827.612832
729.484,-42872191.7669889
728.242,-43446718.8050458
727.004,-43955499.4244265
725.77,-44345024.700467
724.54,-44636435.7695682
723.315,-44907398.8169251
722.094,-45235534.7706148
720.876,-45644464.467285
719.663,-46090183.8363282
718.454,-46495798.3083777
717.249,-46808176.09557
716.048,-47035360.0860488
714.851,-47238580.9530352
713.658,-47486156.4346065
712.469,-47803808.6112345
711.284,-48157600.8311325
710.103,-48480994.3203381
708.926,-48724975.8157095
707.753,-48893798.3460251
706.583,-49040372.3952287
705.418,-49225693.823206
704.256,-49473332.1602804
703.098,-49752948.946246
701.944,-50004516.1772616
700.794,-50184234.5252526
699.647,-50297192.1769092
698.504,-50392425.5447151
697.365,-50524867.1408364
696.23,-50713541.2831883
695.098,-50927842.8295589
693.97,-51111820.2280098
692.846,-51227347.3773117
691.725,-51282922.6206608
690.608,-51326249.8675324
689.495,-51406832.7363858
688.385,-51537707.4160826
687.279,-51685791.9057694
686.176,-51797920.7242724
685.077,-51842055.0375292
683.981,-51831603.7717273
682.889,-51814172.609607
681.8,-51833820.1364693
680.715,-51896324.2348591
679.633,-51964457.0487514
678.554,-51986698.0311334
677.479,-51936744.5297672
676.408,-51832892.9212758
675.34,-51722208.7739063
674.275,-51641935.9471258
673.213,-51588344.6344792
672.155,-51517296.6429738
671.1,-51375983.9825584
670.049,-51140939.2973545
669.001,-50832609.635249
667.956,-50495246.0574447
666.914,-50158123.2738041
665.876,-49809014.8371415
664.84,-49401595.9292061
663.808,-48892416.892634
662.78,-48280139.2413088
661.754,-47617751.6268958
660.731,-46988497.1435472
659.712,-46463028.4550239
658.696,-46068115.1702422
657.683,-45787105.7900922
656.673,-45587657.782592
655.666,-45452450.0569731
654.663,-45388713.4942609
653.662,-45411198.182703
652.664,-45515231.1111384
651.67,-45664184.1629318
650.678,-45803303.2832422
649.69,-45890006.2886735
648.704,-45917135.3406832
647.722,-45910979.0370991
646.742,-45905820.1224911
645.765,-45915004.7405582
644.792,-45920825.9190831
643.821,-45890102.9114446
642.853,-45801972.505146
641.888,-45665228.1643942
640.926,-45511489.6823455
639.967,-45370278.7425868
639.011,-45246320.1939461
638.057,-45117251.3289651
637.107,-44953097.8677368
