pitch_nm,res1_wavelength_nm,res1_reflectivity,res2_wavelength_nm,res2_reflectivity
6.150000000000000000e+02,7.077530000000000427e+02,1.043763977468934873e-01,7.857809999999999491e+02,6.029279227784068995e-01
6.500000000000000000e+02,7.319809999999999945e+02,5.791565365881291144e-02,7.960199999999999818e+02,5.737587516411944977e-01
7.000000000000000000e+02,7.552509999999999764e+02,1.832176693086144670e-01,8.236150000000000091e+02,4.668894363796131097e-01
7.500000000000000000e+02,7.688289999999999509e+02,2.122180509758839762e-01,8.635299999999999727e+02,3.429708770147890662e-01
8.000000000000000000e+02,9.075099999999999909e+02,2.943426601148726451e-01,7.975040000000000191e+02,4.451633317790880118e-01
