pitch_nm,resonance_wavelength_nm
6.150000000000000000e+02,1.197119999999999891e+03
6.500000000000000000e+02,7.196630000000000109e+02
7.000000000000000000e+02,7.512699999999999818e+02
7.500000000000000000e+02,7.901369999999999436e+02
8.000000000000000000e+02,8.252050000000000409e+02
