pitch_nm,min_reflectivity
6.150000000000000000e+02,2.036739486478875497e-02
6.500000000000000000e+02,2.136490199616778579e-02
7.000000000000000000e+02,1.892547455602982057e-02
7.500000000000000000e+02,2.465576089999750239e-02
8.000000000000000000e+02,2.354213329533823285e-02
